total_delivary,euclidean_points,manhattan_points,distance,optimized_distance,
50,50,0,1.770846881164502,1.7488673813520008,
50,50,0,1.793475584663507,1.771219968552005,
50,50,0,1.8007232480858324,1.7975244357823514,
50,50,0,1.5219869149357614,1.5197746312441278,
50,50,0,1.6596211062751989,1.6498034588528088,
50,50,0,1.840473159269416,1.8291777739435764,
50,50,0,1.7102931897351663,1.696842651430214,
50,50,0,1.6934949453346582,1.6812664696906978,
50,50,0,1.6450154608670509,1.6345632624458353,
50,50,0,1.755558558772724,1.7530823022350976,
20,20,0,0.7249849054197799,0.7241225170995476,
20,20,0,0.6781353427973238,0.655834187643548,
20,20,0,0.7665938326328131,0.7530610665855463,
20,20,0,0.6652825962032192,0.661487933892815,
20,20,0,0.6087143210280509,0.6043428176900437,
20,20,0,0.578023755257637,0.5759543084925552,
20,20,0,0.6709818744761099,0.6648154420796378,
20,20,0,0.7761664859114763,0.7636538100084311,
20,20,0,0.6505109570303381,0.6426858703485952,
20,20,0,0.7233283198227587,0.7181402097814236,
20,0,20,0.8221452486906529,0.9907226734908292,
20,0,20,0.8614108627057178,0.9869902574918186,
20,0,20,0.8433479421867034,1.0980606126958108,
20,0,20,0.7916036819188363,0.987028826997367,
20,0,20,0.9092785091693258,1.1280529589030834,
20,0,20,0.7700517440724965,1.0484337881724954,
20,0,20,0.831147910240702,1.0423131018307004,
20,0,20,0.7569131728818803,0.9745535279847816,
20,0,20,0.7862755969658082,1.0448440058518145,
20,0,20,0.6723542095839719,0.7671788811968554,
50,0,50,2.1390492191716817,2.7240423653116466,
50,0,50,2.059805578809886,2.5212351202873293,
50,0,50,2.25700392822008,2.851674025021872,
50,0,50,2.058667587940029,2.575338176558084,
50,0,50,1.8774062853899665,2.239142705066584,
50,0,50,1.993489137062873,2.4844245346278413,
50,0,50,2.078532040367449,2.651437870049904,
50,0,50,2.1684929896532665,2.587650649125017,
50,0,50,2.1081123830892,2.531870027904098,
50,0,50,1.8119825666231435,2.321091296010124,
20,10,10,0.8517266208324402,0.8359455859215785,
20,11,9,0.7299410223097652,0.7102552821989513,
20,10,10,0.8987748066303309,0.8578076992040258,
20,9,11,0.7953757082099155,0.7752834936499735,
20,10,10,0.916660008797197,0.8936327084816196,
20,10,10,0.7036210383060363,0.6616282289705213,
20,10,10,1.022949061076082,1.001742592406211,
20,11,9,1.0418324399396508,1.0402623000452882,
20,11,9,0.8315555347450565,0.8235107077769017,
20,11,9,0.8292308805435058,0.8255121484147944,
20,12,8,0.8591669220400552,0.8557416075275233,
20,10,10,0.851736260418036,0.8353606640841328,
20,8,12,0.9912958629035966,0.9809701089265922,
20,8,12,0.9996729745622632,1.0104786353561863,
20,13,7,0.9506794591830188,0.9455840316581088,
20,4,16,0.9001339743453056,1.0320646125112154,
20,15,5,0.7835855010967738,0.7711294921938585,
20,11,9,0.7783794312241006,0.7703290605576459,
20,13,7,0.8543189749683928,0.8488399030482279,
20,12,8,0.8678874551373422,0.8534671237104459,
50,30,20,2.243464944178416,2.2285965984279383,
50,24,26,1.9773523379904163,1.9262019952867395,
50,22,28,2.391704498421348,2.374072314894746,
50,29,21,1.952513824069956,1.9492092928795364,
50,23,27,2.1627661876759103,2.117646683995563,
50,24,26,2.161255420558288,2.0744816116268456,
50,25,25,2.4731481131746738,2.4257819967712764,
50,26,24,2.226887542304757,2.2199691180128385,
50,28,22,2.255215889527101,2.248830257997966,
50,28,22,2.2590801535975555,2.25310869069294,
50,23,27,2.581609301812265,2.520771259257688,
50,30,20,2.3717171711173406,2.3665483837745054,
50,16,34,2.1740096967237243,2.2390127425555457,
50,23,27,2.4408281160002527,2.3963757602157107,
50,26,24,2.516229917222752,2.515716751132242,
50,30,20,2.1162806721186,2.097511262327318,
50,27,23,2.4382869691526,2.403127518642294,
50,31,19,2.297755263676896,2.277807660488817,
50,19,31,2.003722467766575,2.0233109319343865,
50,23,27,2.3258745546403032,2.305245003230833,